Last Seen,IP Address,MAC Address,Vendor OUI,Hostname,Detected OS,Ingress Bytes,Egress Bytes,Total Traffic Volume,Active Policy Status
2026-08-06 10:52:46,192.168.74.203,LOCAL_HOST,Unknown,insight,Linux OS,147213,296263,433.08 KB,ACTIVE
2026-08-05 16:40:34,192.168.74.36,a2:6e:75:d3:c8:fe,Unknown,Unknown Device,Unknown OS,3296,28639,31.19 KB,ACTIVE
2026-08-06 10:52:46,192.168.74.173,6c:3b:6b:d4:c5:fa,Unknown,Linux OS Endpoint,Linux OS,12218,13014,24.64 KB,ACTIVE
2026-08-06 10:52:47,192.168.72.1,90:ec:77:91:21:a9,Unknown,_gateway,macOS / iOS,13270,11347,24.04 KB,ACTIVE
2026-08-06 10:52:27,192.168.74.85,d0:21:f9:c1:e9:22,Unknown,Unknown Device,Unknown OS,9126,12258,20.88 KB,ACTIVE
2026-08-06 10:52:27,192.168.74.98,f4:92:bf:20:30:79,Unknown,Unknown Device,Unknown OS,7930,10460,17.96 KB,ACTIVE
2026-08-06 10:52:46,192.168.74.200,82:e3:dd:ba:07:d2,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,8063,8886,16.55 KB,ACTIVE
2026-08-06 10:52:46,192.168.74.150,04:0e:3c:16:1d:f3,Unknown,WORKGROUP,Windows OS,7808,4820,12.33 KB,ACTIVE
2026-08-05 16:40:34,192.168.74.174,48:89:e7:94:89:b9,Unknown,Unknown Device,Unknown OS,2612,9805,12.13 KB,ACTIVE
2026-08-06 10:52:47,192.168.74.65,96:82:41:16:86:89,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,5148,4614,9.53 KB,ACTIVE
2026-08-05 16:43:46,192.168.74.214,48:51:b7:dd:fa:a9,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,4891,4214,8.89 KB,ACTIVE
2026-08-06 10:52:46,192.168.74.242,0e:6b:ab:8e:be:ff,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,4374,3786,7.97 KB,ACTIVE
2026-08-06 10:52:47,192.168.72.17,78:45:58:5f:ff:c8,Unknown,Unknown Device,Unknown OS,2940,4324,7.09 KB,ACTIVE
2026-08-05 16:43:46,192.168.74.248,8a:61:de:2f:ee:d3,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,3610,3192,6.64 KB,ACTIVE
2026-08-05 16:43:46,192.168.74.195,9e:57:14:06:ff:d1,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,3504,3200,6.55 KB,ACTIVE
2026-08-05 16:43:48,192.168.74.244,00:db:df:74:ba:e4,Unknown,Unknown Device,Unknown OS,3438,3066,6.35 KB,ACTIVE
2026-08-06 10:27:17,192.168.74.130,8c:c6:81:d3:f3:6f,Unknown,Unknown Device,Unknown OS,6136,261,6.25 KB,ACTIVE
2026-08-06 10:52:47,192.168.74.50,5c:c5:d4:93:df:f0,Unknown,Apple Endpoint,macOS / iOS,5962,0,5.82 KB,ACTIVE
2026-08-06 10:52:48,192.168.74.211,f4:96:34:9f:72:02,Unknown,Unknown Device,Unknown OS,2525,1027,3.47 KB,ACTIVE
2026-08-06 09:38:47,192.168.74.197,38:ba:f8:76:1a:06,Unknown,Unknown Device,Unknown OS,2068,1084,3.08 KB,ACTIVE
2026-08-05 16:43:46,192.168.74.9,56:4a:f0:5a:c6:f9,Unknown,Linux / Unix / Mobile Endpoint,Linux / Unix / Mobile,1632,1484,3.04 KB,ACTIVE
