Timestamp,Source IP,Target IP,Policy Action,Reason,Hit Count,Rule Status,Expiration Time
2026-08-06 07:52:54,172.217.170.202,N/A,BLOCKED,"Auto-Block (Behavioral Anomaly: Deviates from baseline (Port 41053, Size 1292 B))",1786003674,ACTIVE,N/A
2026-08-06 07:52:52,192.168.74.203,N/A,BLOCKED,"Auto-Block (Behavioral Anomaly: Deviates from baseline (Port 443, Size 1292 B))",1786003672,ACTIVE,N/A
2026-08-06 07:52:51,172.217.170.170,N/A,BLOCKED,"Auto-Block (Behavioral Anomaly: Deviates from baseline (Port 51904, Size 319 B))",1786003671,ACTIVE,N/A
2026-08-06 06:51:14,192.168.72.1,N/A,WHITELIST,Moved to Whitelist,0,ACTIVE,N/A
2026-08-05 13:04:11,192.168.72.56,N/A,WHITELIST,Moved to Whitelist,0,ACTIVE,N/A
2026-08-05 13:03:08,142.251.155.2,N/A,WHITELIST,Moved to Whitelist,0,ACTIVE,N/A
2026-08-05 13:02:48,142.251.154.2,N/A,WHITELIST,Moved to Whitelist,0,ACTIVE,N/A
2026-08-05 13:02:44,192.168.75.227,N/A,WHITELIST,Moved to Whitelist,0,ACTIVE,N/A
2026-08-05 13:01:37,192.168.22.38,N/A,WHITELIST,Moved to Whitelist,0,ACTIVE,N/A
2026-08-05 13:01:32,0.0.0.0,N/A,WHITELIST,Moved to Whitelist,0,ACTIVE,N/A
2026-08-05 13:01:27,192.168.74.36,N/A,WHITELIST,Moved to Whitelist,0,ACTIVE,N/A
